0	0	290	3	166
0	0	248	7	362
0	0	191	20	760
0	0	166	6	394
0	0	152	4	921
0	0	112	17	63
0	0	81	12	92
0	1	275	14	103
0	1	201	19	582
0	1	176	5	395
0	1	171	18	483
0	1	137	6	531
0	1	124	11	721
0	1	117	7	467
0	1	99	14	894
0	1	93	1	136
0	1	73	20	844
0	1	69	11	42
0	1	68	17	757
0	2	155	9	892
0	3	271	16	517
0	3	245	11	31
0	3	168	11	979
0	3	166	9	788
0	3	143	9	215
0	3	90	13	586
0	3	80	14	123
0	4	227	19	406
0	4	124	15	890
0	4	118	6	260
0	4	93	1	780
0	5	300	18	564
0	5	298	0	309
0	5	295	14	314
0	5	254	18	343
0	5	237	8	692
0	5	181	11	186
0	5	156	9	941
0	5	111	9	408
0	5	108	4	68
0	5	91	7	350
1	0	293	2	607
1	0	248	2	83
1	0	165	10	648
1	0	152	15	800
1	0	145	16	80
1	0	117	19	631
1	0	102	15	804
1	1	270	4	420
1	1	254	0	478
1	1	208	1	436
1	1	182	11	736
1	1	141	20	704
1	1	126	6	34
1	1	87	10	558
1	2	296	20	728
1	2	289	3	222
1	2	288	19	951
1	2	283	12	128
1	2	241	10	506
1	2	183	17	935
1	2	71	19	744
1	3	254	2	195
1	3	220	0	194
1	3	217	4	446
1	3	141	11	883
1	3	81	0	965
1	3	75	2	796
1	4	277	12	452
1	4	135	7	503
1	4	134	10	199
1	4	120	18	814
1	5	278	12	620
1	5	263	0	776
1	5	102	15	773
1	5	98	1	220
2	0	257	10	181
2	0	100	19	672
2	1	284	9	188
2	1	278	5	417
2	1	271	5	958
2	1	231	17	402
2	1	219	3	175
2	1	212	18	184
2	2	227	7	332
2	2	225	20	313
2	2	207	7	301
2	2	193	14	795
2	2	163	15	385
2	2	148	9	338
2	2	75	13	196
2	3	273	16	407
2	3	209	17	461
2	3	209	2	29
2	3	193	13	4
2	3	189	10	919
2	3	163	1	681
2	3	156	19	441
2	3	67	19	364
2	4	293	13	240
